YEAR,CUSTOMER_AGE_GROUP,DEPARTMENT,CLASS,PRODUCT_DESC,TOTAL_VALUE,VAR_SP
2007,55-64,FRESH FOOD,all,LEAN,8544.99,sales
2007,65+,DRY FOOD,all,SFT DRNK 2 LITER BTL CARB INCL,691.99,sales
2007,65+,FRESH FOOD,all,TOMATOES VINE RIPE BULK,3471.02,sales
2008,19-24,DRY FOOD,all,CHOCOLATE MILK,2329.48,sales
2008,19-24,DRY FOOD,all,HOT DOG BUNS,3421.81,sales
2008,19-24,DRY FOOD,all,MAINSTREAM WHITE BREAD,2988.96,sales
2008,19-24,DRY FOOD,all,SFT DRNK 2 LITER BTL CARB INCL,1622.42,sales
2008,19-24,DRY FOOD,all,SNACKS/APPETIZERS,1819.81,sales
2008,19-24,DRY FOOD,all,SOFT DRINKS 12/18&15PK CAN CAR,15963.65,sales
2008,25-34,DRY FOOD,all,CATSUP,765.44,sales
2008,25-34,DRY FOOD,all,CIGARETTES,4700.29,sales
2008,25-34,DRY FOOD,all,CORN,1365.08,sales
2008,25-34,DRY FOOD,all,COTTAGE CHEESE,2193.34,sales
2008,25-34,DRY FOOD,all,CREAM CHEESE,1832.1200000000001,sales
2008,25-34,DRY FOOD,all,DAIRY CASE 100% PURE JUICE - O,2111.71,sales
2008,25-34,DRY FOOD,all,EGGS - LARGE,3443.69,sales
2008,25-34,DRY FOOD,all,EGGS - MEDIUM,1807.33,sales
2008,25-34,DRY FOOD,all,FLUID MILK WHITE ONLY,14331.93,sales
2008,25-34,DRY FOOD,all,IWS SINGLE CHEESE,5436.51,sales
2008,25-34,DRY FOOD,all,MAINSTREAM WHITE BREAD,6316.7,sales
2008,25-34,DRY FOOD,all,NEWSPAPER,1280.27,sales
2008,25-34,DRY FOOD,all,SFT DRNK SNGL SRV BTL CARB (EX,3068.27,sales
2008,25-34,DRY FOOD,all,SOFT DRINKS 12/18&15PK CAN CAR,5438.36,sales
2008,25-34,DRY FOOD,all,SOUP CRACKERS (SALTINE/OYSTER),1379.7,sales
2008,25-34,DRY FOOD,all,SUGAR,3583.12,sales
2008,25-34,DRY FOOD,all,TORTILLA/NACHO CHIPS,3613.62,sales
2008,25-34,FRESH FOOD,all,APPLES GRANNY SMITH (BULK&BAG),2493.78,sales
2008,25-34,FRESH FOOD,all,AVOCADO,2142.94,sales
2008,25-34,FRESH FOOD,all,CANTALOUPE WHOLE,3771.27,sales
2008,25-34,FRESH FOOD,all,CHICKEN BREAST BONELESS,15108.51,sales
2008,25-34,FRESH FOOD,all,CORN YELLOW,1739.49,sales
2008,25-34,FRESH FOOD,all,HEAD LETTUCE,2432.43,sales
2008,25-34,FRESH FOOD,all,MEAT: LUNCHMEAT BULK,2702.03,sales
2008,25-34,FRESH FOOD,all,MEAT: SAUS DRY BULK,3759.74,sales
2008,25-34,FRESH FOOD,all,MUSHROOMS WHITE SLICED PKG,1883.15,sales
2008,25-34,FRESH FOOD,all,ONIONS OTHER,1457.85,sales
2008,25-34,FRESH FOOD,all,ONIONS SWEET (BULK&BAG),1865.56,sales
2008,25-34,FRESH FOOD,all,PEPPERS GREEN BELL,3071.7000000000003,sales
2008,25-34,FRESH FOOD,all,ROMA TOMATOES (BULK/PKG),2389.5099999999998,sales
2008,25-34,FRESH FOOD,all,WATERMELON SEEDLESS WHOLE,2842.62,sales
2008,25-34,NON FOOD,all,GASOLINE-REG UNLEADED,322251.62,sales
2008,35-44,DRY FOOD,all,APPLE JUICE & CIDER (OVER 50%,1640.72,sales
2008,35-44,DRY FOOD,all,CANDY BARS (SINGLES)(INCLUDING,748.87,sales
2008,35-44,DRY FOOD,all,CHOCOLATE MILK,4949.63,sales
2008,35-44,DRY FOOD,all,CONDENSED SOUP,2473.61,sales
2008,35-44,DRY FOOD,all,EGGS - LARGE,3911.5,sales
2008,35-44,DRY FOOD,all,EGGS - X-LARGE,6169.07,sales
2008,35-44,DRY FOOD,all,FLUID MILK WHITE ONLY,46756.2,sales
2008,35-44,DRY FOOD,all,HAMBURGER BUNS,3531.39,sales
2008,35-44,DRY FOOD,all,IWS SINGLE CHEESE,2600.72,sales
2008,35-44,DRY FOOD,all,MAINSTREAM WHITE BREAD,2405.85,sales
2008,35-44,DRY FOOD,all,NON-CRBNTD DRNKING/MNERAL WATE,7214.77,sales
2008,35-44,DRY FOOD,all,POTATO CHIPS,1545.48,sales
2008,35-44,DRY FOOD,all,SFT DRNK 2 LITER BTL CARB INCL,276.46,sales
2008,35-44,DRY FOOD,all,SFT DRNK MLT-PK BTL CARB (EXCP,1285.53,sales
2008,35-44,DRY FOOD,all,SHREDDED CHEESE,4410.08,sales
2008,35-44,DRY FOOD,all,SOFT DRINKS 12/18&15PK CAN CAR,12416.36,sales
2008,35-44,DRY FOOD,all,TOILET TISSUE,2683.5499999999997,sales
2008,35-44,DRY FOOD,all,TORTILLA/NACHO CHIPS,1814.55,sales
2008,35-44,DRY FOOD,all,TUNA,1432.41,sales
2008,35-44,FRESH FOOD,all,APPLES GOLD DELICIOUS (BULK&BA,1892.2,sales
2008,35-44,FRESH FOOD,all,BANANAS,16559.08,sales
2008,35-44,FRESH FOOD,all,BROCCOLI WHOLE&CROWNS,3886.93,sales
2008,35-44,FRESH FOOD,all,CABBAGE,1408.76,sales
2008,35-44,FRESH FOOD,all,CUCUMBERS,2990.41,sales
2008,35-44,FRESH FOOD,all,GARDEN PLUS,2371.85,sales
2008,35-44,FRESH FOOD,all,GARLIC WHOLE CLOVES,455.39,sales
2008,35-44,FRESH FOOD,all,GRAPES RED,2582.01,sales
2008,35-44,FRESH FOOD,all,LEMONS,1221.63,sales
2008,35-44,FRESH FOOD,all,ONIONS SWEET (BULK&BAG),1226.22,sales
2008,35-44,FRESH FOOD,all,ONIONS YELLOW (BULK&BAG),3009.07,sales
2008,35-44,FRESH FOOD,all,POTATOES RUSSET (BULK&BAG),10280.15,sales
2008,35-44,FRESH FOOD,all,POTATOES SWEET&YAMS,2045.41,sales
2008,35-44,FRESH FOOD,all,SALAD BAR FRESH FRUIT,6995.08,sales
2008,35-44,FRESH FOOD,all,SW GDS:DONUTS,2054.35,sales
2008,35-44,FRESH FOOD,all,TOMATOES GRAPE,4026.75,sales
2008,35-44,NON FOOD,all,GASOLINE-REG UNLEADED,19071.67,sales
2008,45-54,DRY FOOD,all,BEANS GREEN: FS/WHL/CUT,1365.28,sales
2008,45-54,DRY FOOD,all,BUTTER,2436.34,sales
2008,45-54,DRY FOOD,all,CREAM CHEESE,3072.84,sales
2008,45-54,DRY FOOD,all,FLUID MILK WHITE ONLY,23495.88,sales
2008,45-54,DRY FOOD,all,MACARONI & CHEESE DNRS,1133.21,sales
2008,45-54,DRY FOOD,all,MAINSTREAM WHEAT/MULTIGRAIN BR,3273.25,sales
2008,45-54,DRY FOOD,all,MAINSTREAM WHITE BREAD,4763.59,sales
2008,45-54,DRY FOOD,all,SFT DRNK 2 LITER BTL CARB INCL,9359.42,sales
2008,45-54,DRY FOOD,all,SFT DRNK SNGL SRV BTL CARB (EX,630.21,sales
2008,45-54,DRY FOOD,all,SHREDDED CHEESE,3861.09,sales
2008,45-54,DRY FOOD,all,SNACK CAKE - MULTI PACK,702.44,sales
2008,45-54,DRY FOOD,all,SOUR CREAMS,1861.33,sales
2008,45-54,FRESH FOOD,all,APPLES GALA (BULK&BAG),3192.27,sales
2008,45-54,FRESH FOOD,all,CARROTS MINI PEELED,4532.51,sales
2008,45-54,FRESH FOOD,all,CELERY,3262.99,sales
2008,45-54,FRESH FOOD,all,ENTREES,2477.52,sales
2008,45-54,FRESH FOOD,all,GARDEN PLUS,2680.78,sales
2008,45-54,FRESH FOOD,all,GRAPES RED,6063.33,sales
2008,45-54,FRESH FOOD,all,GRAPES WHITE,6747.28,sales
2008,45-54,FRESH FOOD,all,HEAD LETTUCE,1784.47,sales
2008,45-54,FRESH FOOD,all,ORANGES NAVELS ALL,1464.28,sales
2008,45-54,FRESH FOOD,all,PEPPERS RED BELL,1670.17,sales
2008,45-54,FRESH FOOD,all,PREMIUM - MEAT,3053.26,sales
2008,45-54,FRESH FOOD,all,PREP FD: SIDE DISHES (HOT),5745.17,sales
2008,45-54,FRESH FOOD,all,PRIMAL,11362.66,sales
2008,45-54,FRESH FOOD,all,REGULAR GARDEN,1982.2,sales
2008,45-54,FRESH FOOD,all,SQUASH ZUCCHINI,966.56,sales
2008,45-54,FRESH FOOD,all,STRAWBERRIES,9774.11,sales
2008,45-54,FRESH FOOD,all,TOMATOES HOTHOUSE ON THE VINE,6394.62,sales
2008,55-64,FRESH FOOD,all,CARROTS MINI PEELED,1912.1100000000001,sales
2008,55-64,FRESH FOOD,all,LEAN,10351.44,sales
2008,65+,DRY FOOD,all,SFT DRNK 2 LITER BTL CARB INCL,769.28,sales
2008,65+,FRESH FOOD,all,TOMATOES VINE RIPE BULK,4431.32,sales
2007,19-24,all,all,CHOCOLATE MILK,2166.79,sales
2007,19-24,all,all,HOT DOG BUNS,2803.11,sales
2007,19-24,all,all,MAINSTREAM WHITE BREAD,2351.86,sales
2007,19-24,all,all,SFT DRNK 2 LITER BTL CARB INCL,1142.8600000000001,sales
2007,19-24,all,all,SNACKS/APPETIZERS,1615.24,sales
2007,19-24,all,all,SOFT DRINKS 12/18&15PK CAN CAR,13206.2,sales
2007,25-34,all,all,APPLES GRANNY SMITH (BULK&BAG),1849.4,sales
2007,25-34,all,all,AVOCADO,1711.97,sales
2007,25-34,all,all,CANTALOUPE WHOLE,2394.96,sales
2007,25-34,all,all,CATSUP,1710.59,sales
2007,25-34,all,all,CHICKEN BREAST BONELESS,13843.42,sales
2007,25-34,all,all,CIGARETTES,4005.2,sales
2007,25-34,all,all,CORN,966.47,sales
2007,25-34,all,all,CORN YELLOW,1284.37,sales
2007,25-34,all,all,COTTAGE CHEESE,1994.8799999999999,sales
2007,25-34,all,all,CREAM CHEESE,1956.93,sales
2007,25-34,all,all,DAIRY CASE 100% PURE JUICE - O,1996.8,sales
2007,25-34,all,all,EGGS - LARGE,2681.41,sales
2007,25-34,all,all,EGGS - MEDIUM,1107.61,sales
2007,25-34,all,all,FLUID MILK WHITE ONLY,11544.44,sales
2007,25-34,all,all,GASOLINE-REG UNLEADED,227926.81,sales
2007,25-34,all,all,HEAD LETTUCE,2854.09,sales
2007,25-34,all,all,IWS SINGLE CHEESE,5429.06,sales
2007,25-34,all,all,MAINSTREAM WHITE BREAD,6068.57,sales
2007,25-34,all,all,MEAT: LUNCHMEAT BULK,2299.99,sales
2007,25-34,all,all,MEAT: SAUS DRY BULK,3746.62,sales
2007,25-34,all,all,MUSHROOMS WHITE SLICED PKG,1510.32,sales
2007,25-34,all,all,NEWSPAPER,1256.49,sales
2007,25-34,all,all,ONIONS OTHER,1148.65,sales
2007,25-34,all,all,ONIONS SWEET (BULK&BAG),1792.43,sales
2007,25-34,all,all,PEPPERS GREEN BELL,2617.09,sales
2007,25-34,all,all,ROMA TOMATOES (BULK/PKG),1736.14,sales
2007,25-34,all,all,SFT DRNK SNGL SRV BTL CARB (EX,3168.04,sales
2007,25-34,all,all,SOFT DRINKS 12/18&15PK CAN CAR,5536.12,sales
2007,25-34,all,all,SOUP CRACKERS (SALTINE/OYSTER),1174.48,sales
2007,25-34,all,all,SUGAR,3334.15,sales
2007,25-34,all,all,TORTILLA/NACHO CHIPS,2831.62,sales
2007,25-34,all,all,WATERMELON SEEDLESS WHOLE,1877.42,sales
2007,35-44,all,all,APPLE JUICE & CIDER (OVER 50%,1762.24,sales
2007,35-44,all,all,APPLES GOLD DELICIOUS (BULK&BA,1276.99,sales
2007,35-44,all,all,BANANAS,12922.92,sales
2007,35-44,all,all,BROCCOLI WHOLE&CROWNS,1750.01,sales
2007,35-44,all,all,CABBAGE,1324.0,sales
2007,35-44,all,all,CANDY BARS (SINGLES)(INCLUDING,720.51,sales
2007,35-44,all,all,CHOCOLATE MILK,3819.3,sales
2007,35-44,all,all,CONDENSED SOUP,2497.8,sales
2007,35-44,all,all,CUCUMBERS,2339.84,sales
2007,35-44,all,all,EGGS - LARGE,3822.78,sales
2007,35-44,all,all,EGGS - X-LARGE,5524.58,sales
2007,35-44,all,all,FLUID MILK WHITE ONLY,37028.32,sales
2007,35-44,all,all,GARDEN PLUS,2472.55,sales
2007,35-44,all,all,GARLIC WHOLE CLOVES,337.58,sales
2007,35-44,all,all,GASOLINE-REG UNLEADED,14522.81,sales
2007,35-44,all,all,GRAPES RED,1581.96,sales
2007,35-44,all,all,HAMBURGER BUNS,2891.13,sales
2007,35-44,all,all,IWS SINGLE CHEESE,2340.67,sales
2007,35-44,all,all,LEMONS,952.87,sales
2007,35-44,all,all,MAINSTREAM WHITE BREAD,2086.61,sales
2007,35-44,all,all,NON-CRBNTD DRNKING/MNERAL WATE,4805.03,sales
2007,35-44,all,all,ONIONS SWEET (BULK&BAG),1049.74,sales
2007,35-44,all,all,ONIONS YELLOW (BULK&BAG),2552.34,sales
2007,35-44,all,all,POTATO CHIPS,2122.16,sales
2007,35-44,all,all,POTATOES RUSSET (BULK&BAG),8408.33,sales
2007,35-44,all,all,POTATOES SWEET&YAMS,1523.71,sales
2007,35-44,all,all,SALAD BAR FRESH FRUIT,5955.01,sales
2007,35-44,all,all,SFT DRNK 2 LITER BTL CARB INCL,280.46999999999997,sales
2007,35-44,all,all,SFT DRNK MLT-PK BTL CARB (EXCP,1000.32,sales
2007,35-44,all,all,SHREDDED CHEESE,3164.6,sales
2007,35-44,all,all,SOFT DRINKS 12/18&15PK CAN CAR,12080.69,sales
2007,35-44,all,all,SW GDS:DONUTS,1785.18,sales
2007,35-44,all,all,TOILET TISSUE,2348.62,sales
2007,35-44,all,all,TOMATOES GRAPE,2158.64,sales
2007,35-44,all,all,TORTILLA/NACHO CHIPS,1491.43,sales
2007,35-44,all,all,TUNA,978.41,sales
2007,45-54,all,all,APPLES GALA (BULK&BAG),1941.42,sales
2007,45-54,all,all,BEANS GREEN: FS/WHL/CUT,987.29,sales
2007,45-54,all,all,BUTTER,1809.94,sales
2007,45-54,all,all,CARROTS MINI PEELED,3751.0299999999997,sales
2007,45-54,all,all,CELERY,1271.16,sales
2007,45-54,all,all,CREAM CHEESE,2054.09,sales
2007,45-54,all,all,ENTREES,2266.8,sales
2007,45-54,all,all,FLUID MILK WHITE ONLY,19264.920000000002,sales
2007,45-54,all,all,GARDEN PLUS,2173.27,sales
2007,45-54,all,all,GRAPES RED,4370.35,sales
2007,45-54,all,all,GRAPES WHITE,5506.2,sales
2007,45-54,all,all,HEAD LETTUCE,524.26,sales
2007,45-54,all,all,MACARONI & CHEESE DNRS,1030.74,sales
2007,45-54,all,all,MAINSTREAM WHEAT/MULTIGRAIN BR,2123.73,sales
2007,45-54,all,all,MAINSTREAM WHITE BREAD,3846.87,sales
2007,45-54,all,all,ORANGES NAVELS ALL,823.64,sales
2007,45-54,all,all,PEPPERS RED BELL,905.6,sales
2007,45-54,all,all,PREMIUM - MEAT,2880.82,sales
2007,45-54,all,all,PREP FD: SIDE DISHES (HOT),5324.65,sales
2007,45-54,all,all,PRIMAL,8792.11,sales
2007,45-54,all,all,REGULAR GARDEN,2201.96,sales
2007,45-54,all,all,SFT DRNK 2 LITER BTL CARB INCL,8078.49,sales
2007,45-54,all,all,SFT DRNK SNGL SRV BTL CARB (EX,478.61,sales
2007,45-54,all,all,SHREDDED CHEESE,2963.27,sales
2007,45-54,all,all,SNACK CAKE - MULTI PACK,495.82,sales
2007,45-54,all,all,SOUR CREAMS,1554.73,sales
2007,45-54,all,all,SQUASH ZUCCHINI,771.15,sales
2007,45-54,all,all,STRAWBERRIES,7011.88,sales
2007,45-54,all,all,TOMATOES HOTHOUSE ON THE VINE,4277.62,sales
2007,55-64,all,all,CARROTS MINI PEELED,1542.5700000000002,sales
2007,55-64,all,all,LEAN,8544.99,sales
2007,65+,all,all,SFT DRNK 2 LITER BTL CARB INCL,691.99,sales
2007,65+,all,all,TOMATOES VINE RIPE BULK,3471.02,sales
2008,19-24,all,all,CHOCOLATE MILK,2329.48,sales
2008,19-24,all,all,HOT DOG BUNS,3421.81,sales
2008,19-24,all,all,MAINSTREAM WHITE BREAD,2988.96,sales
2008,19-24,all,all,SFT DRNK 2 LITER BTL CARB INCL,1622.42,sales
2008,19-24,all,all,SNACKS/APPETIZERS,1819.81,sales
2008,19-24,all,all,SOFT DRINKS 12/18&15PK CAN CAR,15963.65,sales
2008,25-34,all,all,APPLES GRANNY SMITH (BULK&BAG),2493.78,sales
2008,25-34,all,all,AVOCADO,2142.94,sales
2008,25-34,all,all,CANTALOUPE WHOLE,3771.27,sales
2008,25-34,all,all,CATSUP,765.44,sales
2008,25-34,all,all,CHICKEN BREAST BONELESS,15108.51,sales
2008,25-34,all,all,CIGARETTES,4700.29,sales
2008,25-34,all,all,CORN,1365.08,sales
2008,25-34,all,all,CORN YELLOW,1739.49,sales
2008,25-34,all,all,COTTAGE CHEESE,2193.34,sales
2008,25-34,all,all,CREAM CHEESE,1832.1200000000001,sales
2008,25-34,all,all,DAIRY CASE 100% PURE JUICE - O,2111.71,sales
2008,25-34,all,all,EGGS - LARGE,3443.69,sales
2008,25-34,all,all,EGGS - MEDIUM,1807.33,sales
2008,25-34,all,all,FLUID MILK WHITE ONLY,14331.93,sales
2008,25-34,all,all,GASOLINE-REG UNLEADED,322251.62,sales
2008,25-34,all,all,HEAD LETTUCE,2432.43,sales
2008,25-34,all,all,IWS SINGLE CHEESE,5436.51,sales
2008,25-34,all,all,MAINSTREAM WHITE BREAD,6316.7,sales
2008,25-34,all,all,MEAT: LUNCHMEAT BULK,2702.03,sales
2008,25-34,all,all,MEAT: SAUS DRY BULK,3759.74,sales
2008,25-34,all,all,MUSHROOMS WHITE SLICED PKG,1883.15,sales
2008,25-34,all,all,NEWSPAPER,1280.27,sales
2008,25-34,all,all,ONIONS OTHER,1457.85,sales
2008,25-34,all,all,ONIONS SWEET (BULK&BAG),1865.56,sales
2008,25-34,all,all,PEPPERS GREEN BELL,3071.7000000000003,sales
2008,25-34,all,all,ROMA TOMATOES (BULK/PKG),2389.5099999999998,sales
2008,25-34,all,all,SFT DRNK SNGL SRV BTL CARB (EX,3068.27,sales
2008,25-34,all,all,SOFT DRINKS 12/18&15PK CAN CAR,5438.36,sales
2008,25-34,all,all,SOUP CRACKERS (SALTINE/OYSTER),1379.7,sales
2008,25-34,all,all,SUGAR,3583.12,sales
2008,25-34,all,all,TORTILLA/NACHO CHIPS,3613.62,sales
2008,25-34,all,all,WATERMELON SEEDLESS WHOLE,2842.62,sales
2008,35-44,all,all,APPLE JUICE & CIDER (OVER 50%,1640.72,sales
2008,35-44,all,all,APPLES GOLD DELICIOUS (BULK&BA,1892.2,sales
2008,35-44,all,all,BANANAS,16559.08,sales
2008,35-44,all,all,BROCCOLI WHOLE&CROWNS,3886.93,sales
2008,35-44,all,all,CABBAGE,1408.76,sales
2008,35-44,all,all,CANDY BARS (SINGLES)(INCLUDING,748.87,sales
2008,35-44,all,all,CHOCOLATE MILK,4949.63,sales
2008,35-44,all,all,CONDENSED SOUP,2473.61,sales
2008,35-44,all,all,CUCUMBERS,2990.41,sales
2008,35-44,all,all,EGGS - LARGE,3911.5,sales
2008,35-44,all,all,EGGS - X-LARGE,6169.07,sales
2008,35-44,all,all,FLUID MILK WHITE ONLY,46756.2,sales
2008,35-44,all,all,GARDEN PLUS,2371.85,sales
2008,35-44,all,all,GARLIC WHOLE CLOVES,455.39,sales
2008,35-44,all,all,GASOLINE-REG UNLEADED,19071.67,sales
2008,35-44,all,all,GRAPES RED,2582.01,sales
2008,35-44,all,all,HAMBURGER BUNS,3531.39,sales
2008,35-44,all,all,IWS SINGLE CHEESE,2600.72,sales
2008,35-44,all,all,LEMONS,1221.63,sales
2008,35-44,all,all,MAINSTREAM WHITE BREAD,2405.85,sales
2008,35-44,all,all,NON-CRBNTD DRNKING/MNERAL WATE,7214.77,sales
2008,35-44,all,all,ONIONS SWEET (BULK&BAG),1226.22,sales
2008,35-44,all,all,ONIONS YELLOW (BULK&BAG),3009.07,sales
2008,35-44,all,all,POTATO CHIPS,1545.48,sales
2008,35-44,all,all,POTATOES RUSSET (BULK&BAG),10280.15,sales
2008,35-44,all,all,POTATOES SWEET&YAMS,2045.41,sales
2008,35-44,all,all,SALAD BAR FRESH FRUIT,6995.08,sales
2008,35-44,all,all,SFT DRNK 2 LITER BTL CARB INCL,276.46,sales
2008,35-44,all,all,SFT DRNK MLT-PK BTL CARB (EXCP,1285.53,sales
2008,35-44,all,all,SHREDDED CHEESE,4410.08,sales
2008,35-44,all,all,SOFT DRINKS 12/18&15PK CAN CAR,12416.36,sales
2008,35-44,all,all,SW GDS:DONUTS,2054.35,sales
2008,35-44,all,all,TOILET TISSUE,2683.5499999999997,sales
2008,35-44,all,all,TOMATOES GRAPE,4026.75,sales
2008,35-44,all,all,TORTILLA/NACHO CHIPS,1814.55,sales
2008,35-44,all,all,TUNA,1432.41,sales
2008,45-54,all,all,APPLES GALA (BULK&BAG),3192.27,sales
2008,45-54,all,all,BEANS GREEN: FS/WHL/CUT,1365.28,sales
2008,45-54,all,all,BUTTER,2436.34,sales
2008,45-54,all,all,CARROTS MINI PEELED,4532.51,sales
2008,45-54,all,all,CELERY,3262.99,sales
2008,45-54,all,all,CREAM CHEESE,3072.84,sales
2008,45-54,all,all,ENTREES,2477.52,sales
2008,45-54,all,all,FLUID MILK WHITE ONLY,23495.88,sales
2008,45-54,all,all,GARDEN PLUS,2680.78,sales
2008,45-54,all,all,GRAPES RED,6063.33,sales
2008,45-54,all,all,GRAPES WHITE,6747.28,sales
2008,45-54,all,all,HEAD LETTUCE,1784.47,sales
2008,45-54,all,all,MACARONI & CHEESE DNRS,1133.21,sales
2008,45-54,all,all,MAINSTREAM WHEAT/MULTIGRAIN BR,3273.25,sales
2008,45-54,all,all,MAINSTREAM WHITE BREAD,4763.59,sales
2008,45-54,all,all,ORANGES NAVELS ALL,1464.28,sales
2008,45-54,all,all,PEPPERS RED BELL,1670.17,sales
2008,45-54,all,all,PREMIUM - MEAT,3053.26,sales
2008,45-54,all,all,PREP FD: SIDE DISHES (HOT),5745.17,sales
2008,45-54,all,all,PRIMAL,11362.66,sales
2008,45-54,all,all,REGULAR GARDEN,1982.2,sales
2008,45-54,all,all,SFT DRNK 2 LITER BTL CARB INCL,9359.42,sales
2008,45-54,all,all,SFT DRNK SNGL SRV BTL CARB (EX,630.21,sales
2008,45-54,all,all,SHREDDED CHEESE,3861.09,sales
2008,45-54,all,all,SNACK CAKE - MULTI PACK,702.44,sales
2008,45-54,all,all,SOUR CREAMS,1861.33,sales
2008,45-54,all,all,SQUASH ZUCCHINI,966.56,sales
2008,45-54,all,all,STRAWBERRIES,9774.11,sales
2008,45-54,all,all,TOMATOES HOTHOUSE ON THE VINE,6394.62,sales
2008,55-64,all,all,CARROTS MINI PEELED,1912.1100000000001,sales
2008,55-64,all,all,LEAN,10351.44,sales
2008,65+,all,all,SFT DRNK 2 LITER BTL CARB INCL,769.28,sales
2008,65+,all,all,TOMATOES VINE RIPE BULK,4431.32,sales
2007,all,all,all,APPLE JUICE & CIDER (OVER 50%,1762.24,sales
2007,all,all,all,APPLES GALA (BULK&BAG),1941.42,sales
2007,all,all,all,APPLES GOLD DELICIOUS (BULK&BA,1276.99,sales
2007,all,all,all,APPLES GRANNY SMITH (BULK&BAG),1849.4,sales
2007,all,all,all,AVOCADO,1711.97,sales
2007,all,all,all,BANANAS,12922.92,sales
2007,all,all,all,BEANS GREEN: FS/WHL/CUT,987.29,sales
2007,all,all,all,BROCCOLI WHOLE&CROWNS,1750.01,sales
2007,all,all,all,BUTTER,1809.94,sales
2007,all,all,all,CABBAGE,1324.0,sales
2007,all,all,all,CANDY BARS (SINGLES)(INCLUDING,720.51,sales
2007,all,all,all,CANTALOUPE WHOLE,2394.96,sales
2007,all,all,all,CARROTS MINI PEELED,5293.6,sales
2007,all,all,all,CATSUP,1710.59,sales
2007,all,all,all,CELERY,1271.16,sales
2007,all,all,all,CHICKEN BREAST BONELESS,13843.42,sales
2007,all,all,all,CHOCOLATE MILK,5986.09,sales
2007,all,all,all,CIGARETTES,4005.2,sales
2007,all,all,all,CONDENSED SOUP,2497.8,sales
2007,all,all,all,CORN,966.47,sales
2007,all,all,all,CORN YELLOW,1284.37,sales
2007,all,all,all,COTTAGE CHEESE,1994.8799999999999,sales
2007,all,all,all,CREAM CHEESE,4011.0200000000004,sales
2007,all,all,all,CUCUMBERS,2339.84,sales
2007,all,all,all,DAIRY CASE 100% PURE JUICE - O,1996.8,sales
2007,all,all,all,EGGS - LARGE,6504.1900000000005,sales
2007,all,all,all,EGGS - MEDIUM,1107.61,sales
2007,all,all,all,EGGS - X-LARGE,5524.58,sales
2007,all,all,all,ENTREES,2266.8,sales
2007,all,all,all,FLUID MILK WHITE ONLY,67837.68000000001,sales
2007,all,all,all,GARDEN PLUS,4645.82,sales
2007,all,all,all,GARLIC WHOLE CLOVES,337.58,sales
2007,all,all,all,GASOLINE-REG UNLEADED,242449.62,sales
2007,all,all,all,GRAPES RED,5952.31,sales
2007,all,all,all,GRAPES WHITE,5506.2,sales
2007,all,all,all,HAMBURGER BUNS,2891.13,sales
2007,all,all,all,HEAD LETTUCE,3378.3500000000004,sales
2007,all,all,all,HOT DOG BUNS,2803.11,sales
2007,all,all,all,IWS SINGLE CHEESE,7769.7300000000005,sales
2007,all,all,all,LEAN,8544.99,sales
2007,all,all,all,LEMONS,952.87,sales
2007,all,all,all,MACARONI & CHEESE DNRS,1030.74,sales
2007,all,all,all,MAINSTREAM WHEAT/MULTIGRAIN BR,2123.73,sales
2007,all,all,all,MAINSTREAM WHITE BREAD,14353.91,sales
2007,all,all,all,MEAT: LUNCHMEAT BULK,2299.99,sales
2007,all,all,all,MEAT: SAUS DRY BULK,3746.62,sales
2007,all,all,all,MUSHROOMS WHITE SLICED PKG,1510.32,sales
2007,all,all,all,NEWSPAPER,1256.49,sales
2007,all,all,all,NON-CRBNTD DRNKING/MNERAL WATE,4805.03,sales
2007,all,all,all,ONIONS OTHER,1148.65,sales
2007,all,all,all,ONIONS SWEET (BULK&BAG),2842.17,sales
2007,all,all,all,ONIONS YELLOW (BULK&BAG),2552.34,sales
2007,all,all,all,ORANGES NAVELS ALL,823.64,sales
2007,all,all,all,PEPPERS GREEN BELL,2617.09,sales
2007,all,all,all,PEPPERS RED BELL,905.6,sales
2007,all,all,all,POTATO CHIPS,2122.16,sales
2007,all,all,all,POTATOES RUSSET (BULK&BAG),8408.33,sales
2007,all,all,all,POTATOES SWEET&YAMS,1523.71,sales
2007,all,all,all,PREMIUM - MEAT,2880.82,sales
2007,all,all,all,PREP FD: SIDE DISHES (HOT),5324.65,sales
2007,all,all,all,PRIMAL,8792.11,sales
2007,all,all,all,REGULAR GARDEN,2201.96,sales
2007,all,all,all,ROMA TOMATOES (BULK/PKG),1736.14,sales
2007,all,all,all,SALAD BAR FRESH FRUIT,5955.01,sales
2007,all,all,all,SFT DRNK 2 LITER BTL CARB INCL,10193.81,sales
2007,all,all,all,SFT DRNK MLT-PK BTL CARB (EXCP,1000.32,sales
2007,all,all,all,SFT DRNK SNGL SRV BTL CARB (EX,3646.65,sales
2007,all,all,all,SHREDDED CHEESE,6127.87,sales
2007,all,all,all,SNACK CAKE - MULTI PACK,495.82,sales
2007,all,all,all,SNACKS/APPETIZERS,1615.24,sales
2007,all,all,all,SOFT DRINKS 12/18&15PK CAN CAR,30823.010000000002,sales
2007,all,all,all,SOUP CRACKERS (SALTINE/OYSTER),1174.48,sales
2007,all,all,all,SOUR CREAMS,1554.73,sales
2007,all,all,all,SQUASH ZUCCHINI,771.15,sales
2007,all,all,all,STRAWBERRIES,7011.88,sales
